Item_name,Item_href,Brand,Model,Energy_Efficiency,Capacity,Noise_Level,Installation_Type,Part_No,Color,Control_Console,Voltage,Wattage,ASIN,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,MRP,Offer_Price,No_of_Reviews,Review_1,Review_2,Review_3,Review_4,Review_5,Review_6,Review_7,Review_8,good_service,bad_service,good_installation,bad_installation,good_cooling,bad_cooling,noise
"Blue Star BI-5CNHW18PAFU Split AC (1.5 Ton, 4.75 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5CNHW18PAFU-Rating-Copper/dp/B01CY2QGA4/ref=sr_1_215/255-0990334-3122366?ie=UTF8&qid=1485079627&s=kitchen&sr=1-215,Blue Star,BI-5CNHW18PAFU,5 Star Rating,1.5 tons,,Split,,White,Remote Control,230 Volts,,B01CY2QGA4,#279,"#2,78,223",,47590.0,5 reviews,"First things, Inverter AC also comes with Star Rating. Whenever buying an AC check for EER (Energy Efficient Ratio) which should be at-least 4.0 or above for high power savings. This is most recent and rare model I found on the Internet.After lots of research for my first Split AC. I found this great machine.Price: Costly.Power Efficient: Yes 4.3 EER.Looks: Sexy & Damn the digital Display is just elegant.The Remote shows its WiFi AC, can be controlled using a smart app but I didn't find any details on the Manuals or Website. But Bluestar is working on it as shared by Bluestar Installation Guy.Things to Note:Upgrading from Window to Split is lot of hassles & extra money.Window AC are very easy to Install with no extra cost.I bought this in Summer Season as there was an offer from Bluestar for Free Installation.Now, if you purchase, You will have to shed out Rs.1200/ for Installation. + If any Copper Coil or Insulation Tape or Stand or anything required extra with this.Bluestar outer model is very large even for 1.5 ton AC compared to other Split AC's. Make sure you have an extra space for placing the Outdoor Fan Cabinet.Anyways, I was not happy with Seller's Communication as I wanted to speak with him over the phone but he stick to Email Replies passing through Amazon as midator which took more time to get answers.",Good Product!!!,Good,Mast,i bought this product in nagpur...awesome cooling and energy efficient...good one,,,,4,3,3,10,1.0,0.0,0.0
"Blue Star BI-5HW18ZCWX Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW18ZCWX-Split-Rating/dp/B01CFY9IKG/ref=sr_1_216/255-0990334-3122366?ie=UTF8&qid=1485079627&s=kitchen&sr=1-216,Blue Star,BI-5HW18ZCWX,5 Star Rating,1.5 tons,,Split,,White,Remote Control,230 Volts,,B01CFY9IKG,#293,"#2,90,190",,42105.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3CNHW18CAF/U Inverter Split AC (1.5 Ton, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3CNHW18CAF-Inverter-Copper/dp/B00RVIBBQQ/ref=sr_1_22/253-2924686-6320101?ie=UTF8&qid=1485079627&s=kitchen&sr=1-22,Blue Star,CNHW18CAF/U,Inverter,1.5 tons,40 dB,Split,,White,,230 Volts,,B00RVIBBQQ,#15,"#7,981",50400.0,42990.0,28 reviews,"Bought it few days back, needed couple of followups for installation. But overall pretty good product, less noise and I don't feel like ac is running if u make fan speed to low, even the outdoor unit is quite. Impressed a lot","I was worried of buying from website but it was smooth.Following are observation...1) It was delivered well within time in a well packed condition. 2) Every part Drain pipe,Copper coil ,Remote etc are there as mentioned. 3) However for installation you need to directly contact Bluestar.",I am totally satisfied with my Blue Star AC purchase. I got it for very less price thanks to Amazon. I love Blue Start AC in every aspect.,It's an awesome AC.The indoor and outdoor units are very quite.It cools the room very quickly.,"Good Product from a Best manufracturer. Cooling is good and options are adequate for different modes. Remote is a bit long like TV remote, however the options are more and easy to operate.",Great cooling. Noise free.,got the product in diwali sale.Got installed by very co-operative personnels from Bluestar.Happy till now...,"Nothing can be better than this.While selecting AC, i was looking for at least 5 star model or Inverter, with copper condenser along with R410A refrigerant.And I got all these in this model.This model is compact, noise free and very efficient. Moreover it is from bluestar a well known air conditioner company.It also has bluefins.",4,3,3,10,3.0,0.0,0.0
"Blue Star 2WAE081YCF Window AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-2WAE081YCF-Window-Rating/dp/B01CFY8RPI/ref=sr_1_264/254-7146872-7562642?ie=UTF8&qid=1485079627&s=kitchen&sr=1-264,Blue Star,2WAE081YCF,2 Star Rating,1 tons,,Window,,White,Remote Control,,,B01CFY8RPI,#305,"#2,99,219",,21000.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 5HW24MA/1/A/AAX1 Split AC (2 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-5HW24MA-Rating-Aluminium/dp/B00REFXU9W/ref=sr_1_96/253-1610000-2851616?ie=UTF8&qid=1485079627&s=kitchen&sr=1-96,Blue Star,5HW24MA1,5 Star Rating,2 tons,49 dB,Split,,White,Remote Control,230 Volts,1820 Watts,B00REFXU9W,#101,"#1,05,105",52400.0,47100.0,8 reviews,The product has not be installed properly the installation team of Blue star has left the compressor on my balcony grill without fixing it properlyI have contacted them quiet a few times but no has come back to attend it.I have purchased 2 split acs of 2 tons eachNow there is a problem in the Piping always there is a leakage with water seeping in from the blower vents. Have called Customerhelpline they have arranged service thrice but still its a temporary solution if you run the a/c for more than 1 hour leakage starts.,"The after sales service from BLUE START is pathetic. A ticket was raised for installation 2 days before the scheduled delivery, and I was promised a call from the service personal to book appointment and install. Its been 4 day, no calls, had to follow up to get the ticket number and no news about what is happening. I hope, this would be installed before next summer.","Product is good. Delivery was in time. However there was problem from the installation team. The product was installed late. There was some issue in installation with respect to copper pipe, the same was not provided with the product. The installation team has taken the warranty card for getting the same stamped and signed however till now the same is not yet provided back to us.",A1 air conditioner is very good cools the room in 2min,,,,,4,3,3,10,1.0,0.0,0.0
"Blue Star 3HW18VC1 Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW18VC1-Rating-Copper/dp/B00NKYNI4S/ref=sr_1_173/255-7393836-5549665?ie=UTF8&qid=1485079627&s=kitchen&sr=1-173,Blue Star,3HW18VC1,3 Star Rating,1.5 tons,42 dB,Split,3HW18VC1,White,Remote Control,230 Volts,1595 Watts,B00NKYNI4S,#184,"#1,97,573",,34475.0,2 reviews,"I purchased same model at lower price including installation, stabliser and stand from coolex chandigarh.",Nice product,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 5HW18SA1 Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-5HW18SA1-Split-Rating/dp/B00LSJZKXY/ref=sr_1_45/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-45,Blue Star,5HW18SA1,5 Star Rating,1.5 tons,46 dB,Split,5HW18SA1,White,Remote Control,230 Volts,1500 Watts,B00LSJZKXY,#72,"#61,082",42500.0,38420.0,12 reviews,"I purchased a Blue Star split AC and the installation person sent by you has completely messed up with the installation. The AC stand has not been properly balanced and falling towards one side, the pipes are hanging without being placed along the wall and the electric wire is also left hanging behind the curtains and again not placed along with wall. The hole drilled was not done with proper tools.Please send another technician else I will write to Amazon and return the product.",Excellent Product delivered before time. AC is working good price was lowest as compare to market 31800/-. overallgood experience.,Pathetic service and an average AC. Please don't consider purchasing this product as Bluestar is incapable of providing any service support. Their service partner cooltech solutions is the most unprofessional service provider.,Does it have a copper condenser?,Excellent,It's 1 year of using this and we'll satisfied with product and quality.,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW12ZCWX Split AC (1 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW12ZCWX-Split-Rating/dp/B01CFY9B9O/ref=sr_1_42/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-42,Blue Star,BI-5HW12ZCWX,5 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,,B01CFY9B9O,#28,"#17,898",,29500.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 5HW18ZARTX Split AC (1.5 Ton, 5 Star Rating, Red): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-5HW18ZARTX-Split-Rating/dp/B00REFYA82/ref=sr_1_143/255-9022543-9106847?ie=UTF8&qid=1485079627&s=kitchen&sr=1-143,Blue Star,5HW18ZARTX,5 Star Rating,1.5 tons,46 dB,Split,5HW18ZCR1,Red,,230 Volts,1500 Watts,B00REFYA82,#152,"#1,57,904",44800.0,39800.0,6 reviews,Amazing product. I Ordered this on 13th October and it was delivered by 15th October. Called up the customer service and AC was installed by 16th October.Excellent service by Blue star. The technician sent was very helpful and knowledgeable. The AC was installed with no fuss.The cooling of this AC is excellent. We have a big room of 18'x14' and an attached dressing room as well which is not covered/closed by door. Room is cooled within 15 minutes of switching on the AC. Minimum noise and the remote is intuitive and easy to operate.Overall a great experience.,Though the product looked good on the front end. but once it was installed it does not give proper cooling as promised on the site. more over a side panel of the compressor was broken.It looks like it was an already broken piece. This could not ha happened in the transportation as the packaging was really good. The warranty cards are not even stamped.This is a very bad experience for me.,The name says it all.....Excellent!!!,,,,,,4,3,3,10,0.0,1.0,0.0
"Blue Star 3W18LB Window AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3W18LB-Window-Rating/dp/B00NWG7W96/ref=sr_1_33/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-33,Blue Star,3W18LB,3 Star Rating,1.5 tons,55 dB,Window,3W18LB,White,,230 Volts,1730 Watts,B00NWG7W96,#40,"#25,121",30000.0,24750.0,2 reviews,"Great quality, satisfied by the product.",Excellent,,,,,,,4,3,3,10,0.0,0.0,0.0
